Mint_Scheme,Unnamed: 0,Amfi_Code,NAV,S_NAME,FH
Nippon India Equity Hybrid Fund (G),157,112936,79.1934,Nippon India Equity Hybrid Fund,Nippon
HDFC Defence Fund Reg (G),158,151751,11.963,HDFC Defence Fund,HDFC
HDFC Equity Savings Fund (G),159,101585,54.513,HDFC Equity Savings Fund,HDFC
HDFC Small Cap Fund (G),160,130502,103.834,HDFC Small Cap Fund,HDFC
HDFC Top 100 Fund (G),161,102000,856.553,HDFC Top 100,HDFC
HDFC Transportation and Logistics Fund Reg (G),162,151900,10.327,HDFC Transportation and Logistics Fund,HDFC
ICICI Pru Manufacturing Fund Reg (G),163,145077,23.02,ICICI Pru Manufacturing Fund Reg,ICICI
ICICI Pru Pharma Healthcare And Diagnostics Fund (G),164,143873,23.96,ICICI Pru Pharma Healthcare And Diagnostics Fund,ICICI
Mirae Asset Global Electric & Autonomous Vehicles E T F FoF Reg (G),165,150594,9.178,Asset Global Electric & Autonomous Vehicles E T F FoF,Mirae
Mirae Asset Global X Artificial Intelligence & Technology E T F FoF Reg (G),166,150596,13.515,Mirae Asset Global X Artificial Intelligence & Technology E T F FoF,Mirae
Mirae Asset Multicap Fund Reg (G),167,151812,10.195,Mirae Asset Multicap Fund,Mirae
Mirae Asset Short Term Fund Reg (G),168,142642,13.8349,Mirae Asset Short Term Fund,Mirae
Mirae Asset Ultra Short Duration Fund Reg (G),169,148530,1157.3937,Mirae Asset Ultra Short Duration Fund,Mirae
Motilal Oswal Nifty Microcap 250 Index Fund Reg (G),170,151815,12.2257,Motilal Oswal Nifty Microcap 250 Index Fund,Motilal
Motilal Oswal Ultra Short Term Fund Reg (G),171,124233,14.972,Motilal Oswal Ultra Short Term Fund,Motilal
Nippon India Equity Savings Fund Reg (G),172,134593,13.7777,Nippon India Equity Savings Fund,Nippon
Nippon India Low Duration Fund (G),173,111753,3319.0367,Nippon India Low Duration Fund,Nippon
Nippon India Pharma Fund (G),174,102431,346.6414,Nippon India Pharma Fund,Nippon
Nippon India Vision Fund (G),175,100380,977.2699,Nippon India Vision Fund,Nippon
Quant Manufacturing Fund Reg (G),176,151913,10.8173,Quant Manufacturing Fund,Quant
SBI Nifty Next 50 Index Fund Reg (G),177,148943,12.1374,SBI Nifty Next 50 Index Fund,SBI
HDFC ELSS Tax saver Reg (G),178,101979,946.677,HDFC ELSS Tax saver,HDFC
Nippon India Growth Fund (G),179,100377,2759.7977,Nippon India Growth Fund,Nippon
HDFC Pharma and Healthcare Fund Reg (G),180,152084,9.973,HDFC Pharma and Healthcare Fund,HDFC
SBI Blue Chip Fund Reg (G),181,103504,70.1269,SBI Blue Chip Fund,SBI
Quant MidCap Fund (G),182,101065,163.9627,Quant MidCap Fund,Quant
HDFC Dynamic PE Ratio Fund of Funds (G),183,130533,32.6168,HDFC Dynamic PE Ratio Fund of Funds,HDFC
Nippon India Short Term Fund (G),184,101665,46.1166,Nippon India Short Term Fund,Nippon
Nippon India Floating Rate Fund (G),185,102673,39.4968,Nippon India Floating Rate Fund,Nippon
ICICI Pru Equity Arbitrage Fund Reg (G),186,104683,30.5319,ICICI Pru Equity Arbitrage Fund,ICICI
Mirae Asset Equity Savings Fund Reg (G),187,145695,16.348,Mirae Asset Equity Savings Fund,Mirae
