Date,High,Low,Open,Close,Volume
2021-04-01,14883.2001953125,14692.4501953125,14798.400390625,14867.349609375,445000
2021-04-05,14849.849609375,14459.5,14837.7001953125,14637.7998046875,509700
2021-04-06,14779.099609375,14573.900390625,14737.0,14683.5,475300
2021-04-07,14879.7998046875,14649.849609375,14716.4501953125,14819.0498046875,0
2021-04-08,14984.150390625,14821.099609375,14875.650390625,14873.7998046875,514800
2021-04-09,14918.4501953125,14785.650390625,14882.650390625,14834.849609375,504100
2021-04-12,14652.5,14248.7001953125,14644.650390625,14310.7998046875,650200
2021-04-13,14528.900390625,14274.900390625,14364.900390625,14504.7998046875,605100
2021-04-15,14597.5498046875,14353.2001953125,14522.400390625,14581.4501953125,568000
2021-04-16,14697.7001953125,14559.0,14599.599609375,14617.849609375,577200
2021-04-19,14382.2998046875,14191.400390625,14306.599609375,14359.4501953125,512300
2021-04-20,14526.9501953125,14207.2998046875,14526.7001953125,14296.400390625,467400
2021-04-22,14424.75,14151.400390625,14219.150390625,14406.150390625,524600
2021-04-23,14461.150390625,14273.2998046875,14326.349609375,14341.349609375,498100
2021-04-26,14557.5,14421.2998046875,14449.4501953125,14485.0,452700
2021-04-27,14667.5498046875,14484.849609375,14493.7998046875,14653.0498046875,451800
2021-04-28,14890.25,14694.9501953125,14710.5,14864.5498046875,457000
2021-04-29,15044.349609375,14814.4501953125,14979.0,14894.900390625,517500
2021-04-30,14855.4501953125,14601.7001953125,14747.349609375,14631.099609375,613900
2021-05-03,14673.849609375,14416.25,14481.0498046875,14634.150390625,448900
2021-05-04,14723.400390625,14461.5,14687.25,14496.5,503400
2021-05-05,14637.900390625,14506.599609375,14604.150390625,14617.849609375,455900
2021-05-06,14743.900390625,14611.5,14668.349609375,14724.7998046875,467800
2021-05-07,14863.0498046875,14765.5,14816.849609375,14823.150390625,488000
2021-05-10,14966.900390625,14892.5,14928.25,14942.349609375,522000
2021-05-11,14900.0,14771.400390625,14789.7001953125,14850.75,647400
2021-05-12,14824.0498046875,14649.7001953125,14823.5498046875,14696.5,643800
2021-05-14,14749.650390625,14591.900390625,14749.400390625,14677.7998046875,620700
2021-05-17,14938.0,14725.349609375,14756.25,14923.150390625,546400
2021-05-18,15137.25,15043.7001953125,15067.2001953125,15108.099609375,583900
2021-05-19,15133.400390625,15008.849609375,15058.599609375,15030.150390625,569100
2021-05-20,15069.7998046875,14884.900390625,15042.599609375,14906.0498046875,480300
2021-05-21,15190.0,14985.849609375,14987.7998046875,15175.2998046875,572900
2021-05-24,15256.25,15145.4501953125,15211.349609375,15197.7001953125,579800
2021-05-25,15293.849609375,15163.400390625,15291.75,15208.4501953125,441500
2021-05-26,15319.900390625,15194.9501953125,15257.0498046875,15301.4501953125,384000
2021-05-27,15384.5498046875,15272.5,15323.9501953125,15337.849609375,0
2021-05-28,15469.650390625,15394.75,15421.2001953125,15435.650390625,468100
2021-05-31,15606.349609375,15374.0,15437.75,15582.7998046875,436000
2021-06-01,15660.75,15528.2998046875,15629.650390625,15574.849609375,409600
2021-06-02,15597.4501953125,15459.849609375,15520.349609375,15576.2001953125,428600
2021-06-03,15705.099609375,15611.0,15655.5498046875,15690.349609375,410200
2021-06-04,15733.599609375,15622.349609375,15712.5,15670.25,414200
2021-06-07,15773.4501953125,15678.099609375,15725.099609375,15751.650390625,394000
2021-06-08,15778.7998046875,15680.0,15773.900390625,15740.099609375,378200
2021-06-09,15800.4501953125,15566.900390625,15766.2998046875,15635.349609375,457900
2021-06-10,15751.25,15648.5,15692.099609375,15737.75,298300
2021-06-11,15835.5498046875,15749.7998046875,15796.4501953125,15799.349609375,363000
2021-06-14,15823.0498046875,15606.5,15791.400390625,15811.849609375,392900
2021-06-15,15901.599609375,15842.400390625,15866.9501953125,15869.25,323300
2021-06-16,15880.849609375,15742.599609375,15847.5,15767.5498046875,340200
2021-06-17,15769.349609375,15616.75,15648.2998046875,15691.400390625,357600
2021-06-18,15761.5,15450.900390625,15756.5,15683.349609375,640800
2021-06-21,15765.150390625,15505.650390625,15525.849609375,15746.5,351500
2021-06-22,15895.75,15752.099609375,15840.5,15772.75,322200
2021-06-23,15862.9501953125,15673.9501953125,15862.7998046875,15686.9501953125,287500
2021-06-24,15821.400390625,15702.7001953125,15737.2998046875,15790.4501953125,316700
2021-06-25,15870.7998046875,15772.2998046875,15839.349609375,15860.349609375,314600
2021-06-28,15915.650390625,15792.150390625,15915.349609375,15814.7001953125,255100
2021-06-29,15835.900390625,15724.0498046875,15807.5,15748.4501953125,360300
2021-06-30,15839.099609375,15708.75,15776.900390625,15721.5,262400
2021-07-01,15755.5498046875,15667.0498046875,15755.0498046875,15680.0,224900
2021-07-02,15738.349609375,15635.9501953125,15705.849609375,15722.2001953125,254800
2021-07-05,15845.9501953125,15762.0498046875,15793.400390625,15834.349609375,207000
2021-07-06,15914.2001953125,15801.0,15813.75,15818.25,391400
2021-07-07,15893.5498046875,15779.7001953125,15819.599609375,15879.650390625,329300
2021-07-08,15885.75,15682.900390625,15855.400390625,15727.900390625,307900
2021-07-09,15730.849609375,15632.75,15688.25,15689.7998046875,243200
2021-07-12,15789.2001953125,15644.75,15766.7998046875,15692.599609375,216300
2021-07-13,15820.7998046875,15744.599609375,15794.0,15812.349609375,246700
2021-07-14,15877.349609375,15764.2001953125,15808.7001953125,15853.9501953125,0
2021-07-15,15952.349609375,15855.0,15872.150390625,15924.2001953125,284900
2021-07-16,15962.25,15882.599609375,15958.349609375,15923.400390625,276300
2021-07-19,15836.900390625,15707.5,15754.5,15752.400390625,242100
2021-07-20,15728.4501953125,15578.5498046875,15703.9501953125,15632.099609375,274300
2021-07-22,15834.7998046875,15726.400390625,15736.599609375,15824.0498046875,265300
2021-07-23,15899.7998046875,15768.400390625,15856.7998046875,15856.0498046875,294100
2021-07-26,15893.349609375,15797.0,15849.2998046875,15824.4501953125,267100
2021-07-27,15881.5498046875,15701.0,15860.5,15746.4501953125,311000
2021-07-28,15767.5,15513.4501953125,15761.5498046875,15709.400390625,318600
2021-07-29,15817.349609375,15737.7998046875,15762.7001953125,15778.4501953125,401600
2021-07-30,15862.7998046875,15744.849609375,15800.599609375,15763.0498046875,400000
2021-08-02,15892.900390625,15834.650390625,15874.900390625,15885.150390625,244800
2021-08-03,16146.900390625,15914.349609375,15951.5498046875,16130.75,341300
2021-08-04,16290.2001953125,16176.150390625,16195.25,16258.7998046875,427300
2021-08-05,16349.4501953125,16210.2998046875,16288.9501953125,16294.599609375,418200
2021-08-06,16336.75,16223.2998046875,16304.400390625,16238.2001953125,320100
2021-08-09,16320.75,16179.0498046875,16281.349609375,16258.25,240500
2021-08-10,16359.25,16202.25,16274.7998046875,16280.099609375,288000
2021-08-11,16338.75,16162.5498046875,16327.2998046875,16282.25,277900
2021-08-12,16375.5,16286.900390625,16303.650390625,16364.400390625,280200
2021-08-13,16543.599609375,16376.2998046875,16385.69921875,16529.099609375,321900
2021-08-16,16589.400390625,16480.75,16518.400390625,16563.05078125,254000
2021-08-17,16628.55078125,16495.400390625,16545.25,16614.599609375,297400
2021-08-18,16701.849609375,16535.849609375,16691.94921875,16568.849609375,251800
2021-08-20,16509.55078125,16376.0498046875,16382.5,16450.5,350800
2021-08-23,16592.5,16395.69921875,16592.25,16496.44921875,275600
2021-08-24,16647.099609375,16495.30078125,16561.400390625,16624.599609375,275400
2021-08-25,16712.44921875,16617.5,16654.0,16634.650390625,265900
